Image_Paths,imdbId,Genre,Title
posters\100534.jpg,100534,Comedy|Crime|Romance,RÃ_psy & Dolly eli Pariisi odottaa (1990)
posters\100557.jpg,100557,Comedy|Drama|History,The Nasty Girl (1990)
posters\100563.jpg,100563,Drama,Krug vtoroy (1990)
posters\10057.jpg,10057,Short|Comedy,A Day's Pleasure (1919)
posters\100586.jpg,100586,Horror|Sci-Fi,Shadowzone (1990)
posters\100589.jpg,100589,Horror,Shakma (1990)
posters\100594.jpg,100594,Adventure|Drama,The Sheltering Sky (1990)
posters\100597.jpg,100597,Crime|Drama|Mystery,Sherlock Holmes and the Leading Lady (1991)
posters\100602.jpg,100602,Comedy|Crime|Thriller,A Shock to the System (1990)
posters\100604.jpg,100604,Comedy|Crime|Drama,Short Time (1990)
posters\100606.jpg,100606,Drama|Thriller,A Show of Force (1990)
posters\100608.jpg,100608,Comedy,The Shrimp on the Barbie (1990)
posters\100611.jpg,100611,Comedy,Sibling Rivalry (1990)
posters\100613.jpg,100613,Comedy|Drama|Romance,Side Out (1990)
posters\100623.jpg,100623,Comedy|Drama|Horror,Singapore sling: O anthropos pou agapise ena ptoma (1990)
posters\100625.jpg,100625,Action|Comedy|Fantasy,A Chinese Ghost Story II (1990)
posters\100631.jpg,100631,Action|Comedy,Ski Patrol (1990)
posters\100632.jpg,100632,Thriller,Skinheads (1989)
posters\100633.jpg,100633,Adventure|Drama|Thriller,Der Skipper (1990)
posters\100637.jpg,100637,Horror|Comedy,The Sleeping Car (1990)
posters\100639.jpg,100639,Comedy|Horror,Slumber Party Massacre III (1990)
posters\100649.jpg,100649,Sci-Fi|Thriller,Solar Crisis (1990)
posters\100661.jpg,100661,Action|Drama|Thriller,Sonny Boy (1989)
posters\100663.jpg,100663,Comedy|Horror|Thriller,Sorority House Massacre II (1990)
posters\100666.jpg,100666,Adventure|Comedy|Sci-Fi,Spaced Invaders (1990)
posters\100670.jpg,100670,Comedy|Sci-Fi,The Spirit of '76 (1990)
posters\100680.jpg,100680,Drama|Romance,Stanley & Iris (1990)
posters\100681.jpg,100681,Drama,Everybody's Fine (1990)
posters\1006823.jpg,1006823,Drama,El asaltante (2007)
posters\100685.jpg,100685,Action|Crime|Drama,State of Grace (1990)
posters\100699.jpg,100699,Comedy|Drama,TurnÃÂ© (1990)
posters\1007018.jpg,1007018,Comedy|Drama,The Open Road (2009)
posters\1007026.jpg,1007026,Documentary|Crime|History,Cleanflix (2009)
posters\1007028.jpg,1007028,Comedy|Romance,Zack and Miri Make a Porno (2008)
posters\1007029.jpg,1007029,Biography|Drama,The Iron Lady (2011)
posters\1007032.jpg,1007032,Crime|Drama|Horror,iMurders (2008)
posters\10071.jpg,10071,Comedy,Don't Change Your Husband (1919)
posters\100712.jpg,100712,Comedy|Drama,SÃ_gis (1990)
posters\100740.jpg,100740,Comedy|Fantasy|Horror,Tales from the Darkside: The Movie (1990)
posters\100747.jpg,100747,Comedy|Drama,Tatie Danielle (1990)
posters\100757.jpg,100757,Comedy|Drama,Taksi-Blyuz (1990)
posters\100758.jpg,100758,Action|Adventure|Comedy,Teenage Mutant Ninja Turtles (1990)
posters\100762.jpg,100762,Drama|War,Time to Kill (1989)
posters\100768.jpg,100768,Documentary|History|Music,That's Black Entertainment (1990)
posters\100784.jpg,100784,Drama|Romance,TilaÃÃ¸ (1990)
posters\1007920.jpg,1007920,Animation|Family|Fantasy,Barbie Fairytopia: Magic of the Rainbow (2007)
posters\1007950.jpg,1007950,Comedy,Diminished Capacity (2008)
posters\1008010.jpg,1008010,Crime|Drama|Thriller,The Narrows (2008)
posters\1008017.jpg,1008017,Drama,Palermo Shooting (2008)
posters\100802.jpg,100802,Action|Sci-Fi|Thriller,Total Recall (1990)
posters\100811.jpg,100811,Comedy|Fantasy,Transylvania Twist (1989)
posters\100813.jpg,100813,Action|Adventure|Crime,Treasure Island (1990)
posters\100814.jpg,100814,Comedy|Horror,Tremors (1990)
posters\100822.jpg,100822,Comedy|Romance,Tune in Tomorrow... (1990)
posters\100827.jpg,100827,Horror,Two Evil Eyes (1990)
posters\100828.jpg,100828,Crime|Drama|Mystery,The Two Jakes (1990)
posters\100835.jpg,100835,Drama|Sport,UltrÃÃ (1991)
posters\100840.jpg,100840,Drama,Un week-end sur deux (1990)
posters\100848.jpg,100848,Biography|Drama,Unspeakable Acts (1990)
posters\100873.jpg,100873,Biography|Drama,Vincent & Theo (1990)
posters\100888.jpg,100888,Horror,Voodoo Dawn (1991)
posters\100895.jpg,100895,Comedy,VÃ_Ã_peli KÃÂ¦rmy ja marsalkan sauva (1990)
posters\1009012.jpg,1009012,Biography|Drama,Anna Nicole (2007)
posters\1009014.jpg,1009014,Documentary|Biography|Sport,J.C. ChÃÃvez (2007)
posters\1009019.jpg,1009019,Drama,Crimes of the Past (2009)
posters\100911.jpg,100911,Comedy|Drama,"Welcome Home, Roxy Carmichael (1990)"
posters\100912.jpg,100912,Action|Animation|Comedy,Werner - Beinhart! (1990)
posters\100924.jpg,100924,Comedy|Drama,Where the Heart Is (1990)
posters\100928.jpg,100928,Adventure|Drama,White Hunter Black Heart (1990)
posters\100931.jpg,100931,Action|Adventure|Comedy,Why Me? (1990)
posters\100934.jpg,100934,Drama|Romance,Wild Orchid (1989)
posters\100935.jpg,100935,Comedy|Crime|Drama,Wild at Heart (1990)
posters\100943.jpg,100943,Horror,Witchcraft II: The Temptress (1989)
posters\100944.jpg,100944,Adventure|Comedy|Fantasy,The Witches (1990)
posters\100946.jpg,100946,Comedy|Musical,Without You I'm Nothing (1990)
posters\100950.jpg,100950,Documentary,The Wonderful Wizard of Oz: 50 Years of Magic (1990)
posters\100963.jpg,100963,Action|Comedy|Drama,Mo jong yuen So Hat-Yi (1992)
posters\100975.jpg,100975,Horror|Sci-Fi,Xtro II: The Second Encounter (1990)
posters\100990.jpg,100990,Drama,"I, the Worst of All (1990)"
posters\100994.jpg,100994,Action|Western,Young Guns II (1990)
posters\100998.jpg,100998,Drama|Fantasy,Dreams (1990)
posters\1010005.jpg,1010005,Documentary,Election Day (2007)
posters\101004.jpg,101004,Drama|Romance|Thriller,Zandalee (1991)
posters\1010048.jpg,1010048,Drama,Slumdog Millionaire (2008)
posters\101005.jpg,101005,Comedy|Sci-Fi,Zapped Again! (1990)
posters\101020.jpg,101020,Action|Comedy|Crime,Zong heng si hai (1991)
posters\1010248.jpg,1010248,Documentary,Atomin paluu (2015)
posters\101025.jpg,101025,Comedy|Drama|War,"ÂÃ§Ay, Carmela! (1990)"
posters\101026.jpg,101026,Comedy|Crime|Drama,Tie Me Up! Tie Me Down! (1989)
posters\1010265.jpg,1010265,Crime|Drama|Thriller,Varg Veum - Falne engler (2008)
posters\1010271.jpg,1010271,Horror|Mystery|Thriller,The Poughkeepsie Tapes (2007)
posters\1010278.jpg,1010278,Biography|Drama|War,The Courageous Heart of Irena Sendler (2009)
posters\1010313.jpg,1010313,Comedy|Crime,Hardcover (2008)
posters\1010415.jpg,1010415,Drama,Canciones de amor en Lolita's Club (2007)
posters\1010455.jpg,1010455,Drama|Thriller,Small Gods (2007)
posters\101070.jpg,101070,Crime|Drama|Mystery,Conspiracy of Silence
posters\101095.jpg,101095,Fantasy|Romance,FantaghirÃ_ (1991)
posters\101244.jpg,101244,Horror|Romance|Thriller,100 Days (1991)
posters\101252.jpg,101252,Comedy|Drama,29th Street (1991)
posters\101254.jpg,101254,Documentary|Biography,35 Up (1991)
posters\101258.jpg,101258,Crime|Drama|Romance,Days of Being Wild (1990)
posters\101268.jpg,101268,Drama|Sport,Across the Tracks (1990)
posters\101272.jpg,101272,Comedy|Fantasy,The Addams Family (1991)
posters\1012729.jpg,1012729,Drama,Helen (2009)
posters\101273.jpg,101273,Comedy|Drama,The Adjuster (1991)
posters\1012757.jpg,1012757,Comedy|Music,Loins of Punjab Presents (2007)
posters\101279.jpg,101279,Drama,Agantuk (1991)
posters\1012804.jpg,1012804,Drama|Sport,Redbelt (2008)
posters\101296.jpg,101296,Comedy|Horror|Sci-Fi,Alien Space Avenger (1989)
posters\101309.jpg,101309,Horror|Sci-Fi,Alligator II: The Mutation (1991)
posters\101316.jpg,101316,Biography|Drama|Romance,The Lover (1992)
posters\101318.jpg,101318,Drama|Romance,The Lovers on the Bridge (1991)
posters\101324.jpg,101324,Comedy|Drama,American Friends (1991)
posters\101325.jpg,101325,Action|Sport,American Kickboxer (1991)
posters\101329.jpg,101329,Animation|Adventure|Family,An American Tail: Fievel Goes West (1991)
posters\101343.jpg,101343,Comedy|Family|Fantasy,And You Thought Your Parents Were Weird (1991)
posters\101349.jpg,101349,Documentary|Short,Anima Mundi (1992)
posters\1013542.jpg,1013542,Comedy|Drama|Family,The Cheetah Girls: One World (2008)
posters\101356.jpg,101356,Comedy|Crime,Another You (1991)
posters\1013607.jpg,1013607,Animation|Comedy|Drama,Idiots and Angels (2008)
posters\1013651.jpg,1013651,Action|Drama|Western,The Man Who Came Back (2008)
posters\101366.jpg,101366,Action|Adventure|Sci-Fi,Arena (1989)
posters\101371.jpg,101371,Drama|Comedy,Article 99 (1992)
posters\101373.jpg,101373,Drama|Romance,At Play in the Fields of the Lord (1991)
posters\1013743.jpg,1013743,Action|Comedy|Romance,Knight and Day (2010)
posters\1013752.jpg,1013752,Action|Crime|Thriller,Fast & Furious (2009)
posters\1013753.jpg,1013753,Biography|Drama|History,Milk (2008)
posters\1013854.jpg,1013854,Documentary,NÃÂ¦madak Tx (2006)
posters\1013856.jpg,1013856,Drama|Romance,Singularidades de uma Rapariga Loura (2009)
posters\1013860.jpg,1013860,Action|Comedy|Crime,Dylan Dog: Dead of Night (2010)
posters\101391.jpg,101391,Comedy,Baby on Board (1992)
posters\101393.jpg,101393,Action|Crime|Drama,Backdraft (1991)
posters\101404.jpg,101404,Comedy|Drama|Mystery,The Ballad of the Sad Cafe (1991)
posters\101410.jpg,101410,Comedy|Drama|Thriller,Barton Fink (1991)
posters\101412.jpg,101412,Fantasy|Action|Adventure,Beastmaster 2: Through the Portal of Time (1991)
posters\101414.jpg,101414,Animation|Family|Fantasy,Beauty and the Beast (1991)
posters\101420.jpg,101420,Fantasy|Horror,Begotten (1990)
posters\101428.jpg,101428,Drama,La belle noiseuse (1991)
posters\101440.jpg,101440,Drama|Music|Romance,Life on a String (1991)
posters\101444.jpg,101444,Comedy,Big Girls Don't Cry... They Get Even (1992)
posters\101449.jpg,101449,Comedy,Bikini Summer (1991)
posters\101452.jpg,101452,Adventure|Comedy|Fantasy,Bill & Ted's Bogus Journey (1991)
posters\101455.jpg,101455,Adventure|Comedy|Family,Bingo (1991)
posters\101460.jpg,101460,Biography|Drama|Music,Bix (1991)
posters\101465.jpg,101465,Adventure|Drama|History,Black Robe (1991)
posters\101467.jpg,101467,Horror,Black Demons (1991)
posters\1014672.jpg,1014672,Comedy|Drama,Bheja Fry (2007)
posters\1014673.jpg,1014673,Documentary,Can Mr. Smith Get to Washington Anymore? (2006)
posters\1014691.jpg,1014691,Comedy,Tutte le donne della mia vita (2007)
posters\1014759.jpg,1014759,Adventure|Family|Fantasy,Alice in Wonderland (2010)
posters\1014762.jpg,1014762,Documentary|Drama|Family,Home (2009)
posters\1014763.jpg,1014763,Crime|Drama|Thriller,Child 44 (2015)
posters\1014766.jpg,1014766,Drama|Mystery|Thriller,The Least of These (2008)
posters\101477.jpg,101477,Horror|Thriller,Blood Ties (1991)
posters\1014774.jpg,1014774,Drama|Family,A Shine of Rainbows (2009)
posters\1014775.jpg,1014775,Adventure|Comedy|Drama,Beverly Hills Chihuahua (2008)
posters\101478.jpg,101478,Comedy|Crime|Romance,Blood and Concrete (1991)
posters\101479.jpg,101479,Documentary,Blood in the Face (1991)
posters\1014799.jpg,1014799,Documentary,Holy Wars (2010)
posters\1014801.jpg,1014801,Action|Crime|Drama,Pistol Whipped (2008)
posters\1014806.jpg,1014806,Drama,The Poker House (2008)
posters\1014809.jpg,1014809,Documentary|Music,Until the Light Takes Us (2008)
posters\101483.jpg,101483,Comedy|Horror,Bloodsucking Pharaohs in Pittsburgh (1991)
posters\101492.jpg,101492,Horror|Thriller,Body Parts (1991)
posters\101500.jpg,101500,Action|Comedy,Boris and Natasha (1992)
posters\101502.jpg,101502,Comedy|Horror|Sci-Fi,The Borrower (1991)
posters\101507.jpg,101507,Crime|Drama,Boyz n the Hood (1991)
posters\101509.jpg,101509,Action|Drama,Breathing Fire (1991)
posters\101516.jpg,101516,Biography|Crime|Drama,Bugsy (1991)
posters\101522.jpg,101522,Animation|Action|Comedy,Burn Up! (1991)
posters\101523.jpg,101523,Comedy|Fantasy,The Butcher's Wife (1991)
posters\101524.jpg,101524,Adventure|Drama|Sport,By the Sword (1991)
posters\1015246.jpg,1015246,Documentary|History|War,War Made Easy: How Presidents & Pundits Keep Spinning Us to Death (2007)
posters\101526.jpg,101526,Drama|Romance,BÃÂ¦rn nÃÃttÃÂ¼runnar (1991)
posters\101529.jpg,101529,Adventure|Drama|History,Cabeza de Vaca (1991)
posters\101530.jpg,101530,Drama|Music|Mystery,The Cabinet of Dr. Ramirez (1991)
posters\101531.jpg,101531,Drama,Cadence (1990)
posters\101542.jpg,101542,Drama,Il capitano (1991)
posters\101545.jpg,101545,Comedy|Romance,Career Opportunities (1991)
posters\1015456.jpg,1015456,Drama,Adopt a Sailor (2008)
posters\1015471.jpg,1015471,Drama|Mystery|Thriller,The Sisterhood of Night (2014)
posters\1015474.jpg,1015474,Horror|Thriller,Train (2008)
posters\101548.jpg,101548,Drama|Romance,La carne (1991)
posters\10155.jpg,10155,Short|Comedy,The Garage (1920)
posters\101550.jpg,101550,Comedy|Fantasy|Horror,Cast a Deadly Spell (1991)
posters\101561.jpg,101561,Comedy|Drama,Chameleon Street (1989)
posters\101578.jpg,101578,Biography|Drama|History,China Cry: A True Story (1990)
posters\101583.jpg,101583,Animation|Comedy|Fantasy,"Ranma Ã¥_: The Movie, Big Trouble in Nekonron, China (1991)"
posters\101587.jpg,101587,Comedy,City Slickers (1991)
posters\101588.jpg,101588,Crime|Drama,City of Hope (1991)
posters\101590.jpg,101590,Drama|Thriller,Class Action (1991)
posters\101591.jpg,101591,Comedy|Horror|Sci-Fi,Class of Nuke 'Em High Part II: Subhumanoid Meltdown (1991)
posters\101592.jpg,101592,Drama|Thriller|Western,Clearcut (1991)
posters\101595.jpg,101595,Drama|Romance,Close My Eyes (1991)
posters\1015968.jpg,1015968,Documentary,All in This Tea (2007)
posters\101597.jpg,101597,Drama|Thriller,Closet Land (1991)
posters\1015971.jpg,1015971,Documentary,The Boys: The Sherman Brothers' Story (2009)
posters\1015999.jpg,1015999,Comedy|Family,Legally Blondes (2009)
posters\101605.jpg,101605,Comedy|Drama|Music,The Commitments (1991)
posters\101606.jpg,101606,Action|Comedy|Crime,Company Business (1991)
posters\1016075.jpg,1016075,Comedy|Drama|Musical,Fame (2009)
posters\101609.jpg,101609,Western,Conagher (1991)
posters\1016164.jpg,1016164,Documentary,Confessions of a Superhero (2007)
posters\1016205.jpg,1016205,Drama,Mogari no mori (2007)
posters\101625.jpg,101625,Comedy|Crime|Mystery,Once Upon a Crime... (1992)
posters\101627.jpg,101627,Comedy|Horror|Sci-Fi,Critters 3 (1991)
posters\101628.jpg,101628,Comedy|Horror|Sci-Fi,Critters 4 (1992)
posters\1016290.jpg,1016290,Action|Thriller,KurÃÂ«zu zero (2007)
posters\1016301.jpg,1016301,Mystery|Thriller,La habitaciÃ_n de Fermat (2007)
posters\1016307.jpg,1016307,Comedy|Drama,Megane (2007)
posters\101631.jpg,101631,Crime|Drama|Mystery,The Crucifer of Blood (1991)
posters\1016321.jpg,1016321,Drama,ÃÃ Deriva (2009)
posters\101635.jpg,101635,Comedy|Drama|Family,Curly Sue (1991)
posters\101640.jpg,101640,Drama|History|Romance,Raise the Red Lantern (1991)
posters\101660.jpg,101660,Comedy,The Dark Backward (1991)
posters\101669.jpg,101669,Crime|Drama|Mystery,Dead Again (1991)
posters\101688.jpg,101688,Action|Drama|Thriller,Deadly Surveillance (1991)
posters\101692.jpg,101692,Comedy|Crime|Thriller,Death in Brunswick (1990)
posters\101694.jpg,101694,Thriller,Deceived (1991)
posters\101697.jpg,101697,Documentary|Music,Deep Blues (1992)
posters\101700.jpg,101700,Comedy|Crime,Delicatessen (1991)
posters\101701.jpg,101701,Comedy|Fantasy,Delirious (1991)
posters\101702.jpg,101702,Action|Adventure,Delta Force 3: The Killing Game (1991)
posters\101704.jpg,101704,Crime|Drama|Thriller,Delusion (1991)
posters\101741.jpg,101741,Comedy|Drama|Sport,Diving In (1990)
posters\1017428.jpg,1017428,Drama,Captain Abu Raed (2008)
posters\1017442.jpg,1017442,Horror|Thriller,House of Usher (2008)
posters\101745.jpg,101745,Comedy|Drama|Romance,Doc Hollywood (1991)
posters\1017451.jpg,1017451,Biography|Drama|Music,The Runaways (2010)
posters\1017456.jpg,1017456,Action|Crime|Drama,Race (2008)
posters\101746.jpg,101746,Drama,The Doctor (1991)
posters\1017460.jpg,1017460,Drama|Horror|Sci-Fi,Splice (2009)
posters\1017464.jpg,1017464,Horror|Thriller,The Tortured (2010)
posters\1017465.jpg,1017465,Drama|Family|Fantasy,Twitches Too (2007)
posters\101748.jpg,101748,Comedy|Drama|Romance,Dogfight (1991)
posters\101751.jpg,101751,Action|Comedy|Sci-Fi,Dollman (1991)
posters\101757.jpg,101757,Comedy,Don't Tell Mom the Babysitter's Dead (1991)
posters\101764.jpg,101764,Action|Crime,Double Impact (1991)
posters\101765.jpg,101765,Drama|Fantasy|Music,The Double Life of Veronique (1991)
posters\101775.jpg,101775,Comedy|Drama|Fantasy,Drop Dead Fred (1991)
posters\101786.jpg,101786,Comedy|Drama,Dutch (1991)
posters\101787.jpg,101787,Drama|Romance,Dying Young (1991)
posters\101798.jpg,101798,Drama|History|Romance,Edward II (1991)
posters\101805.jpg,101805,Drama,Eline Vere (1991)
posters\101811.jpg,101811,Drama,Enchanted April (1991)
posters\101821.jpg,101821,Comedy|Family|Fantasy,Ernest Scared Stupid (1991)
posters\101829.jpg,101829,Drama|Thriller,Europa (1991)
posters\101831.jpg,101831,Action|Sci-Fi|Thriller,Eve of Destruction (1991)
posters\101844.jpg,101844,Drama,Eyes of an Angel (1991)
posters\101846.jpg,101846,Action|Thriller,F/X2 (1991)
posters\101857.jpg,101857,Action|Comedy|Crime,Fast Getaway (1991)
posters\101862.jpg,101862,Comedy|Family|Romance,Father of the Bride (1991)
posters\101864.jpg,101864,Comedy|Fantasy,Fei zhou he shang (1991)
posters\101869.jpg,101869,Drama|Thriller,Fever (1991)
posters\1018706.jpg,1018706,Drama,CÃÂ£o Sem Dono (2007)
posters\1018723.jpg,1018723,Action|Comedy|Romance,Get Smart's Bruce and Lloyd Out of Control (2008)
posters\1018728.jpg,1018728,Documentary,Heart Like a Hand Grenade (2015)
posters\101874.jpg,101874,Sci-Fi|Thriller,Final Approach (1991)
posters\1018748.jpg,1018748,Documentary,Meeting David Wilson (2008)
posters\1018765.jpg,1018765,Comedy|Drama,Our Brand Is Crisis (2015)
posters\1018785.jpg,1018785,Comedy|Drama|Family,The Sisterhood of the Traveling Pants 2 (2008)
posters\101879.jpg,101879,Drama|War,The Finest Hour (1992)
posters\1018790.jpg,1018790,Comedy,Stripper Academy (2007)
posters\1018817.jpg,1018817,Horror,April Fool's Day (2008)
posters\1018818.jpg,1018818,Comedy|Crime|Mystery,Assassination of a High School President (2008)
posters\1018820.jpg,1018820,Drama|Horror|Mystery,Devil's Diary (2007)
posters\1018830.jpg,1018830,Drama,Yonkers Joe (2008)
posters\1018877.jpg,1018877,Crime|Horror|Mystery,Brutal (2007)
posters\1018887.jpg,1018887,Documentary|Biography,Dreams with Sharp Teeth (2008)
