,imdbId,Title,Genre
41,112819,Dead Presidents (1995),Action|Crime|Drama
42,114272,Restoration (1995),Biography|Drama|History
43,113855,Mortal Kombat (1995),Action|Adventure|Fantasy
44,114681,To Die For (1995),Comedy|Crime|Drama
46,114369,Se7en (1995),Crime|Drama|Mystery
47,114148,Pocahontas (1995),Animation|Adventure|Drama
48,114916,When Night Is Falling (1995),Drama|Romance
51,113819,Mighty Aphrodite (1995),Comedy|Fantasy|Romance
54,113158,Georgia (1995),Drama|Music
55,113541,Kids of the Round Table (1995),Adventure|Comedy|Family
56,113321,Home for the Holidays (1995),Comedy|Drama|Romance
57,110877,Il Postino: The Postman (1994),Biography|Comedy|Drama
58,112714,Le confessionnal (1995),Drama|Mystery|Thriller
59,113419,The Indian in the Cupboard (1995),Drama|Family|Fantasy
60,116260,Eye for an Eye (1996),Crime|Drama|Thriller
61,113862,Mr. Holland's Opus (1995),Drama|Music
62,116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
63,118002,Two If by Sea (1996),Comedy|Crime|Romance
64,115683,Bio-Dome (1996),Comedy
65,116839,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
66,114753,Two Bits (1995),Drama
67,113149,French Twist (1995),Comedy
68,113118,Friday (1995),Comedy|Drama
69,116367,From Dusk Till Dawn (1996),Action|Crime|Horror
72,113828,Les misí©rables (1995),Drama|History
73,115644,Bed of Roses (1996),Romance|Drama
74,115676,Big Bully (1996),Comedy|Thriller
75,114367,Screamers (1995),Sci-Fi|Thriller
76,113973,Nico Icon (1995),Documentary|Biography|Music
77,112744,The Crossing Guard (1995),Drama|Thriller
78,116731,The Juror (1996),Drama|Thriller
79,112445,The White Balloon (1995),Drama|Family
80,114660,Things to Do in Denver When You're Dead (1995),Crime|Drama
81,112379,Antonia's Line (1995),Comedy|Drama
82,114039,Once Upon a Time... When We Were Colored (1995),Drama|Romance
83,113612,Last Summer in the Hamptons (1995),Comedy|Drama
84,112365,Angels and Insects (1995),Drama|Romance
85,118158,White Squall (1996),Adventure|Drama
86,116151,Dunston Checks In (1996),Comedy|Adventure|Family
87,115697,Black Sheep (1996),Comedy
88,113972,Nick of Time (1995),Action|Crime|Drama
89,113490,The Journey of August King (1995),Drama
91,114825,Vampire in Brooklyn (1995),Comedy|Fantasy|Horror
92,115639,Beautiful Girls (1996),Comedy|Drama|Romance
93,115759,Broken Arrow (1996),Action|Crime|Thriller
94,113403,A Midwinter's Tale (1995),Comedy
95,113247,La Haine (1995),Crime|Drama
96,111173,Shopping (1994),Action|Crime|Drama
97,113283,Heidi Fleiss: Hollywood Madam (1995),Documentary|Biography
98,115907,City Hall (1996),Drama
100,117102,Mr. Wrong (1996),Comedy
101,118040,Unforgettable (1996),Drama|Mystery|Sci-Fi
104,110251,Nobody Loves Me (1994),Comedy|Drama
105,117110,Muppet Treasure Island (1996),Action|Adventure|Comedy
106,112646,Catwalk (1995),Documentary
107,113276,Headless Body in Topless Bar (1995),Comedy|Crime|Drama
108,112573,Braveheart (1995),Biography|Drama|History
110,113326,Rumble in the Bronx (1995),Action|Comedy|Crime
111,115645,Before and After (1996),Crime|Drama|Mystery
112,113774,Margaret's Museum (1995),Drama
113,112556,Happiness Is in the Field (1995),Comedy
115,115033,The Young Poisoner's Handbook (1995),Crime|Drama
116,116606,If Lucy Fell (1996),Comedy|Romance
117,114536,Steal Big Steal Little (1995),Comedy
118,117427,Race the Sun (1996),Adventure|Comedy|Drama
119,106473,The Boys of St. Vincent (1992),Drama
120,103859,Boomerang (1992),Comedy|Drama|Romance
121,109424,Chungking Express (1994),Comedy|Drama|Romance
123,116324,Flirting with Disaster (1996),Comedy
126,110217,Jupiter's Wife (1995),Documentary|Biography|Mystery
127,114131,Pie in the Sky (1996),Comedy|Romance
128,112364,Angela (1995),Drama
129,113107,Frankie Starlight (1995),Drama|Romance|War
130,113451,Jade (1995),Crime|Drama|Thriller
132,114500,Sonic Outlaws (1995),Documentary
133,116130,Down Periscope (1996),Comedy
134,113125,From the Journals of Jean Seberg (1995),Documentary|Biography
135,113756,Man of the Year (1995),Comedy|Romance
136,113952,The Neon Bible (1995),Drama
138,118055,Up Close & Personal (1996),Drama|Romance
139,115685,The Birdcage (1996),Comedy
141,113200,Gospa (1995),Drama
142,112585,The Brothers McMullen (1995),Comedy|Drama|Romance
143,112442,Bad Boys (1995),Action|Comedy|Crime
144,112342,The Amazing Panda Adventure (1995),Family|Adventure|Drama
145,112461,The Basketball Diaries (1995),Biography|Crime|Drama
146,112427,An Awfully Big Adventure (1995),Comedy|Drama|Romance
148,112384,Apollo 13 (1995),Adventure|Drama|History
149,114287,Rob Roy (1995),Adventure|Biography|History
150,112288,The Addiction (1995),Horror
152,61395,Belle de Jour (1967),Drama
153,112495,Beyond Rangoon (1995),Action|Drama
155,109370,Canadian Bacon (1995),Comedy
156,112642,Casper (1995),Comedy|Family|Fantasy
157,112688,Clockers (1995),Crime|Drama|Mystery
158,112715,Congo (1995),Action|Adventure|Mystery
159,112740,Crimson Tide (1995),Action|Drama|Thriller
161,112851,Desperado (1995),Action|Thriller
163,112864,Die Hard with a Vengeance (1995),Action|Adventure|Thriller
164,112887,The Doom Generation (1995),Action|Comedy|Crime
165,113044,Feast of July (1995),Crime|Drama|Mystery
166,113071,First Knight (1995),Action|Adventure|Romance
167,113114,Free Willy 2: The Adventure Home (1995),Adventure|Drama|Family
168,113243,Hackers (1995),Comedy|Crime|Drama
169,113464,Jeffrey (1995),Comedy|Drama
170,113481,Johnny Mnemonic (1995),Action|Crime|Sci-Fi
171,113492,Judge Dredd (1995),Action|Crime|Sci-Fi
172,113500,Jury Duty (1995),Comedy
173,113540,Kids (1995),Drama
174,113677,Living in Oblivion (1995),Comedy|Drama
175,113690,Lord of Illusions (1995),Horror|Mystery|Thriller
176,107447,Love & Human Remains (1993),Drama|Comedy
177,113729,Mad Love (1995),Drama|Romance
178,113749,Mallrats (1995),Comedy|Romance
179,113820,Mighty Morphin Power Rangers: The Movie (1995),Action|Adventure|Family
180,113851,Moonlight and Valentino (1995),Comedy|Drama|Romance
181,110604,Mute Witness (1995),Horror|Thriller
182,110620,Nadja (1994),Drama|Horror
183,113957,The Net (1995),Action|Crime|Drama
184,113986,Nine Months (1995),Comedy|Romance
185,114095,Party Girl (1995),Comedy
186,114194,The Prophecy (1995),Action|Crime|Drama
187,114241,Reckless (1995),Comedy|Drama|Fantasy
188,114323,Safe (1995),Drama
189,114345,The Scarlet Letter (1995),Drama|Romance
190,114435,The Show (1995),Documentary|Music
191,114436,Showgirls (1995),Drama
192,114478,Smoke (1995),Comedy|Drama
193,114496,Something to Talk About (1995),Comedy|Drama|Romance
194,114508,Species (1995),Action|Horror|Sci-Fi
195,114534,The Stars Fell on Henrietta (1995),Drama
197,58450,The Umbrellas of Cherbourg (1964),Drama|Musical|Romance
198,114666,The Tie That Binds (1995),Crime|Drama|Thriller
199,114663,Three Wishes (1995),Drama|Fantasy
200,114702,Total Eclipse (1995),Biography|Drama|Romance
201,114682,"To Wong Foo Thanks for Everything, Julie Newmar (1995)",Comedy|Drama
202,114781,Under Siege 2: Dark Territory (1995),Action|Thriller
203,114798,Unstrung Heroes (1995),Comedy|Drama
204,114805,Unzipped (1995),Documentary
205,114887,A Walk in the Clouds (1995),Drama|Romance
206,114898,Waterworld (1995),Action|Adventure|Sci-Fi
207,114928,White Man's Burden (1995),Drama|Thriller
208,114938,Wild Bill (1995),Action|Biography|Western
209,109340,The Browning Version (1994),Drama
210,112602,Bushwhacked (1995),Adventure|Comedy|Crime
211,111579,Burnt by the Sun (1994),Drama|War
212,110882,Before the Rain (1994),Drama|War
213,112471,Before Sunrise (1995),Drama|Romance
214,112508,Billy Madison (1995),Comedy
215,112438,The Babysitter (1995),Drama|Thriller
216,112571,Boys on the Side (1995),Comedy|Drama
217,112757,The Cure (1995),Drama
218,112643,Castle Freak (1995),Drama|Horror|Mystery
219,112679,Circle of Friends (1995),Drama|Romance
220,109445,Clerks (1994),Comedy
221,112883,Don Juan DeMarco (1994),Comedy|Drama|Romance
222,109635,Disclosure (1994),Drama|Thriller
224,109676,Drop Zone (1994),Action|Adventure|Thriller
225,112854,Destiny Turns on the Radio (1995),Crime|Comedy|Fantasy
227,109642,Dolores Claiborne (1995),Crime|Drama|Mystery
228,109686,Dumb & Dumber (1994),Comedy
229,111797,Eat Drink Man Woman (1994),Comedy|Drama|Romance
230,109759,Exotica (1994),Drama
232,109707,Ed Wood (1994),Biography|Comedy|Drama
233,113117,French Kiss (1995),Comedy|Drama|Romance
234,113097,Forget Paris (1995),Comedy|Romance
236,113198,A Goofy Movie (1995),Animation|Adventure|Comedy
237,113303,Hideaway (1995),Fantasy|Horror|Thriller
238,113089,Fluke (1995),Drama|Family|Fantasy
240,113199,Gordy (1995),Comedy|Drama|Family
241,113234,Gumby: The Movie (1995),Animation|Action|Adventure
242,109906,The Glass Shield (1994),Crime|Drama
243,110057,Hoop Dreams (1994),Documentary|Drama|Sport
244,110005,Heavenly Creatures (1994),Biography|Crime|Drama
245,110066,Houseguest (1995),Comedy
246,110116,Immortal Beloved (1994),Biography|Drama|Music
247,110006,Heavy Weights (1995),Comedy|Drama|Family
248,113360,The Hunted (1995),Action|Drama|Thriller
249,110099,I.Q. (1994),Comedy|Romance
250,110148,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Fantasy|Horror
251,113463,Jefferson in Paris (1995),Biography|Drama|History
252,110189,The Jerky Boys (1995),Comedy|Crime
253,110216,Junior (1994),Comedy|Romance|Sci-Fi
254,113501,Just Cause (1995),Action|Crime|Drama
256,113552,Kiss of Death (1995),Action|Crime|Thriller
259,113670,A Little Princess (1995),Drama|Family|Fantasy
260,110296,Ladybird Ladybird (1994),Drama
261,109731,L'Enfer (1994),Crime|Drama|Thriller
262,103994,Como agua para chocolate (1992),Drama|Romance
263,110322,Legends of the Fall (1994),Drama|Romance|War
264,110443,Major Payne (1995),Adventure|Comedy|Family
265,110365,Little Odessa (1994),Crime|Drama
266,107566,Mi vida loca (1993),Crime|Drama
267,110391,Love Affair (1994),Comedy|Drama|Romance
268,113691,Losing Isaiah (1995),Drama
269,110428,The Madness of King George (1994),Biography|Comedy|Drama
270,109836,Mary Shelley's Frankenstein (1994),Drama|Horror|Romance
271,113755,Man of the House (1995),Comedy|Family
273,110516,Milk Money (1994),Comedy|Romance
274,110527,Miracle on 34th Street (1994),Family|Fantasy
276,113896,My Family (1995),Drama
277,113870,Murder in the First (1995),Drama|Thriller
278,110684,Nobody's Fool (1994),Comedy|Drama
279,110638,Nell (1994),Drama
280,113967,New Jersey Drive (1995),Crime|Drama
282,106402,Beyond Bedlam (1994),Comedy|Horror
284,110671,Nina Takes a Lover (1994),Comedy|Romance
285,110632,Natural Born Killers (1994),Crime|Drama
286,110737,Only You (1994),Comedy|Romance
287,110729,Once Were Warriors (1994),Crime|Drama
289,114069,Outbreak (1995),Action|Drama|Thriller
291,114113,The Perez Family (1995),Comedy|Romance|Drama
292,114210,A Pyromaniac's Love Story (1995),Comedy|Romance
293,110912,Pulp Fiction (1994),Crime|Drama
294,114084,Panther (1995),Drama
295,105652,Tui shou (1992),Comedy|Drama
296,110889,Priest (1994),Drama|Romance
297,110932,Quiz Show (1994),Biography|Drama|History
298,114129,Picture Bride (1994),Drama|Romance
299,110963,Queen Margot (1994),Biography|Crime|Drama
300,114214,The Quick and the Dead (1995),Action|Romance|Thriller
301,114296,Roommates (1995),Comedy|Drama
302,110907,Ready to Wear (1994),Comedy|Drama
303,111495,Three Colors: Red (1994),Drama|Mystery|Romance
305,111507,Three Colors: White (1994),Comedy|Drama|Romance
306,110769,Pao Da Shuang Deng (1994),Drama|Romance
307,114268,Rent-a-Kid (1995),Drama|Family|Comedy
308,110965,Relative Fear (1994),Drama|Horror|Thriller
309,114571,Stuart Saves His Family (1995),Comedy|Drama
310,111333,The Swan Princess (1994),Animation|Comedy|Family
311,111112,The Secret of Roan Inish (1994),Drama|Family|Fantasy
312,111255,The Specialist (1994),Action|Crime|Drama
313,111282,Stargate (1994),Action|Adventure|Sci-Fi
314,111070,The Santa Clause (1994),Comedy|Drama|Family
316,111149,Shallow Grave (1994),Crime|Thriller
317,108260,Suture (1993),Drama|Thriller
318,106966,Strawberry and Chocolate (1993),Comedy|Drama|Romance
319,114594,Swimming with Sharks (1994),Comedy|Crime
320,111309,The Sum of Us (1994),Comedy|Drama
321,113936,Senior Trip (1995),Adventure|Comedy
322,110081,To Live (1994),Drama|History|War
323,114614,Tank Girl (1995),Action|Comedy|Sci-Fi
324,114608,Tales from the Crypt: Demon Knight (1995),Action|Fantasy|Horror
325,111280,Star Trek: Generations (1994),Action|Adventure|Mystery
326,114609,Tales from the Hood (1995),Crime|Horror|Thriller
327,111454,Tom & Viv (1994),Biography|Drama|Romance
329,114694,Tommy Boy (1995),Adventure|Comedy
330,111590,Vanya on 42nd Street (1994),Comedy|Drama|Romance
331,114788,The Underneath (1995),Crime|Thriller
333,108550,What's Eating Gilbert Grape (1993),Drama
335,114924,While You Were Sleeping (1995),Comedy|Drama|Romance
336,111667,The War (1994),Drama
337,109655,Double Happiness (1994),Drama|Romance
338,110598,Muriel's Wedding (1994),Comedy|Drama|Romance
339,112435,The Baby-Sitters Club (1995),Comedy|Drama|Family
341,109045,"The Adventures of Priscilla, Queen of the Desert (1994)",Comedy|Music
342,106339,Backbeat (1994),Biography|Drama|Music
343,104779,Bitter Moon (1992),Drama|Romance|Thriller
344,109348,Bullets Over Broadway (1994),Comedy|Crime
345,109444,Clear and Present Danger (1994),Action|Crime|Drama
346,109446,The Client (1994),Crime|Drama|Mystery
348,109504,Crooklyn (1994),Comedy|Drama
349,109506,The Crow (1994),Action|Drama|Fantasy
350,109450,Cobb (1994),Biography|Drama|Sport
351,109813,The Flintstones (1994),Comedy|Family|Fantasy
353,109831,Four Weddings and a Funeral (1994),Comedy|Drama|Romance
356,110093,I Love Trouble (1994),Action|Comedy|Romance
357,110167,It Could Happen to You (1994),Comedy|Drama|Romance
358,110213,The Jungle Book (1994),Adventure|Family|Romance
359,107472,Die Macht der Bilder: Leni Riefenstahl (1993),Documentary|Biography|History
360,110357,The Lion King (1994),Animation|Adventure|Drama
361,107426,Little Buddha (1993),Drama
362,111686,New Nightmare (1994),Fantasy|Horror|Mystery
363,110475,The Mask (1994),Comedy|Family|Fantasy
364,110478,Maverick (1994),Action|Adventure|Comedy
365,110588,Mrs. Parker and the Vicious Circle (1994),Biography|Drama
366,110622,Naked Gun 33 1/3: The Final Insult (1994),Comedy|Crime
367,110771,The Paper (1994),Comedy|Drama
368,110950,Reality Bites (1994),Comedy|Drama|Romance
370,110989,Ri¢hie Ri¢h (1994),Comedy|Family
371,111054,Safe Passage (1994),Drama
372,110997,The River Wild (1994),Action|Adventure|Crime
373,111257,Speed (1994),Action|Adventure|Crime
374,111256,Speechless (1994),Comedy|Romance
375,111438,Timecop (1994),Action|Crime|Sci-Fi
376,111503,True Lies (1994),Action|Comedy|Thriller
377,111693,When a Man Loves a Woman (1994),Drama|Romance
378,111742,Wolf (1994),Drama|Horror|Romance
380,112443,Bad Company (1995),Crime|Drama|Thriller
381,110455,A Man of No Importance (1994),Comedy|Drama
382,111048,S.F.W. (1994),Comedy|Drama
383,110399,A Low Down Dirty Shame (1994),Action|Comedy|Crime
384,112570,"Boys Life: Three Stories of Love, Lust, and Liberation (1994)",Drama
385,109454,Colonel Chabert (1994),Drama|History|Romance
386,59170,"Faster, Pussycat! Kill! Kill! (1965)",Action|Comedy
387,110186,Jason's Lyric (1994),Crime|Drama|Romance
388,108069,The Secret Adventures of Tom Thumb (1993),Animation|Adventure|Sci-Fi
389,111301,Street Fighter (1994),Action|Adventure|Comedy
390,112702,Coldblooded (1995),Action|Comedy|Thriller
391,112849,Desert Winds (1994),Drama|Mystery|Romance
392,113014,Fall Time (1995),Drama|Comedy|Crime
393,113043,The Fear (1995),Horror
394,113104,Frank and Ollie (1995),Documentary
395,113173,Girl in the Cadillac (1995),Adventure|Crime|Drama
396,113319,Homage (1995),Drama|Thriller
399,112889,Dos crí_menes (1994),Comedy|Crime|Drama
400,109339,Brother Minister: The Assassination of Malcolm X (1994),Documentary
401,110027,Highlander: The Final Dimension (1994),Action|Fantasy|Romance
402,109785,Federal Hill (1994),Crime|Drama
403,113409,In the Mouth of Madness (1994),Fantasy|Horror|Mystery
404,109021,8 Seconds (1994),Biography|Drama|Sport
405,109035,Above the Rim (1994),Crime|Drama|Sport
406,106220,Addams Family Values (1993),Comedy|Fantasy
407,111804,Martin Lawrence: You So Crazy (1994),Documentary|Comedy
409,109068,Airheads (1994),Comedy|Crime|Music
410,109067,The Air Up There (1994),Comedy|Family|Sport
411,106292,Another Stakeout (1993),Action|Comedy|Crime
412,109198,Bad Girls (1994),Romance|Western
413,109219,Barcelona (1994),Comedy|Drama|Romance
414,106379,Being Human (1994),Comedy|Drama
415,106400,The Beverly Hillbillies (1993),Comedy|Family
416,109254,Beverly Hills Cop III (1994),Action|Comedy|Crime
417,109279,Black Beauty (1994),Adventure|Drama|Family
418,109297,Blink (1993),Crime|Drama|Mystery
419,109303,Blown Away (1994),Action|Crime|Drama
420,109305,Blue Chips (1994),Drama|Sport
421,109306,Blue Sky (1994),Drama|Romance
422,106452,Body Snatchers (1993),Horror|Sci-Fi
423,106471,Boxing Helena (1993),Drama|Mystery|Romance
425,109361,Cabin Boy (1994),Adventure|Comedy|Romance
426,106505,Calendar Girl (1993),Drama|Comedy
428,109439,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
430,106582,Cliffhanger (1993),Action|Adventure|Thriller
431,106598,Coneheads (1993),Comedy|Sci-Fi
432,109456,Color of Night (1994),Mystery|Romance|Thriller
434,109493,The Cowboy Way (1994),Action|Comedy|Crime
435,106660,Dangerous Game (1993),Drama
436,106673,Dave (1993),Comedy|Romance
437,106677,Dazed and Confused (1993),Comedy
438,106697,Demolition Man (1993),Action|Crime|Sci-Fi
439,109729,The Endless Summer 2 (1994),Documentary|Adventure|Sport
440,106834,Even Cowgirls Get the Blues (1993),Comedy|Drama|Romance
441,106873,Fatal Instinct (1993),Comedy|Crime|Thriller
442,106332,Farewell My Concubine (1993),Drama|Music|Romance
444,106881,Fearless (1993),Drama|Thriller
445,106880,Fear of a Black Hat (1993),Comedy|Music
446,111732,With Honors (1994),Comedy|Drama
447,106926,Flesh and Bone (1993),Drama|Mystery|Romance
448,111712,Widows' Peak (1994),Comedy|Crime|Mystery
449,106941,For Love or Money (1993),Comedy|Drama|Romance
451,106965,Free Willy (1993),Adventure|Drama|Family
452,109842,Fresh (1994),Crime|Drama|Thriller
453,106977,The Fugitive (1993),Action|Crime|Drama
454,107004,Geronimo: An American Legend (1993),Drama|History|Western
455,109890,The Getaway (1994),Action|Adventure|Crime
456,109891,Getting Even with Dad (1994),Comedy|Crime|Family
457,109913,Go Fish (1994),Drama|Romance
458,109920,A Good Man in Africa (1994),Comedy
459,107057,Guilty as Sin (1993),Crime|Drama|Thriller
460,107076,Hard Target (1993),Action|Thriller
461,107096,Heaven & Earth (1993),Action|Biography|Drama
462,107144,Hot Shots! Part Deux (1993),Action|Comedy
463,113674,Live Nude Girls (1995),Comedy
466,110064,House Party 3 (1994),Comedy|Music|Romance
467,110074,The Hudsucker Proxy (1994),Comedy|Drama|Fantasy
468,110097,I'll Do Anything (1994),Comedy|Drama
469,110123,In the Army Now (1994),Comedy|War
470,107206,In the Line of Fire (1993),Action|Drama|Thriller
472,110137,The Inkwell (1994),Romance|Comedy|Drama
473,108551,What's Love Got to Do with It (1993),Biography|Drama|Music
475,107286,Judgment Night (1993),Action|Crime|Drama
476,107290,Jurassic Park (1993),Adventure|Sci-Fi|Thriller
477,107302,Kalifornia (1993),Crime|Drama|Thriller
479,107322,King of the Hill (1993),Drama|History
480,110305,Lassie (1994),Family|Adventure
481,107362,Last Action Hero (1993),Action|Adventure|Comedy
483,110353,Lightning Jack (1994),Comedy|Western
485,107478,Made in America (1993),Comedy
487,107501,The Man Without a Face (1993),Drama
488,107507,Manhattan Murder Mystery (1993),Comedy|Mystery
489,107554,Menace II Society (1993),Crime|Drama|Thriller
490,116253,Executive Decision (1996),Action|Adventure|Thriller
491,74102,In the Realm of the Senses (1976),Biography|Drama|Horror
492,111689,What Happened Was... (1994),Comedy|Drama|Romance
493,107616,Much Ado About Nothing (1993),Comedy|Drama|Romance
494,107611,Mr. Jones (1993),Drama|Romance
495,107613,Mr. Wonderful (1993),Comedy|Romance
496,107614,Mrs. Doubtfire (1993),Comedy|Drama|Family
497,107653,Naked (1993),Comedy|Drama
498,110657,The Next Karate Kid (1994),Action|Drama|Family
499,110649,The New Age (1994),Comedy|Drama
500,110678,No Escape (1994),Action|Drama|Sci-Fi
501,110687,North (1994),Adventure|Comedy|Drama
502,107756,Orlando (1992),Biography|Drama|Fantasy
503,107808,A Perfect World (1993),Crime|Drama|Thriller
505,107822,The Piano (1993),Drama|Music|Romance
506,107840,Poetic Justice (1993),Drama|Romance
507,107889,The Program (1993),Action|Drama|Sport
508,111003,The Puppet Masters (1994),Horror|Sci-Fi|Thriller
509,110939,Radioland Murders (1994),Comedy|Crime|Drama
510,110955,The Ref (1994),Comedy|Crime|Drama
511,107943,The Remains of the Day (1993),Drama|Romance
512,110971,Renaissance Man (1994),Comedy|Drama
513,107969,Rising Sun (1993),Action|Crime|Drama
514,111001,The Road to Wellville (1994),Comedy|Drama
515,107978,RoboCop 3 (1993),Action|Crime|Sci-Fi
516,107977,Robin Hood: Men in Tights (1993),Adventure|Comedy|Musical
517,107983,Romeo Is Bleeding (1993),Action|Crime|Drama
518,105275,Romper Stomper (1992),Crime|Drama
520,108002,Rudy (1993),Biography|Drama|Sport
521,108026,The Saint of Fort Washington (1993),Drama
523,108052,Schindler's List (1993),Biography|Drama|History
524,111094,The Scout (1994),Comedy|Drama|Sport
526,111102,Second Best (1994),Drama
527,108071,The Secret Garden (1993),Drama|Family|Fantasy
528,111127,Serial Mom (1994),Comedy|Crime|Horror
529,111143,The Shadow (1994),Action|Adventure|Crime
530,108101,Shadowlands (1993),Biography|Drama|Romance
531,108122,Short Cuts (1993),Comedy|Drama
532,111194,A Simple Twist of Fate (1994),Drama|Comedy
534,108149,Six Degrees of Separation (1993),Comedy|Drama|Mystery
535,108160,Sleepless in Seattle (1993),Comedy|Drama|Romance
537,83658,Blade Runner (1982),Sci-Fi|Thriller
538,108186,Son in Law (1993),Comedy|Drama|Romance
539,108174,So I Married an Axe Murderer (1993),Comedy|Romance
540,108238,Striking Distance (1993),Action|Crime|Mystery
541,89256,Harem (1985),Drama
542,108255,Super Mario Bros. (1993),Adventure|Comedy|Family
543,111323,Surviving the Game (1994),Action|Adventure|Crime
544,111400,Terminal Velocity (1994),Action|Comedy|Mystery
545,108328,Thirty Two Short Films About Glenn Gould (1993),Biography|Drama|Music
547,107688,The Nightmare Before Christmas (1993),Animation|Family|Fantasy
550,111488,Trial by Jury (1994),Thriller|Crime|Drama
553,110763,The Pagemaster (1994),Animation|Adventure|Comedy
554,107779,"Paris, France (1993)",Comedy|Drama
555,109226,"The Beans of Egypt, Maine (1994)",Drama
557,114906,Welcome to the Dollhouse (1995),Comedy|Drama
558,107002,Germinal (1993),Drama|Romance
560,104029,Cronos (1993),Horror
561,110623,Naked in New York (1993),Comedy|Romance
562,107315,Kika (1993),Comedy
563,106408,Bhaji on the Beach (1993),Comedy|Drama
565,107349,The Slingshot (1993),Drama
566,111709,Wide-Eyed and Legless,Comedy|Crime|Drama
567,109828,Foreign Student (1994),Drama
568,107225,"Ciao, Professore! (1992)",Comedy
569,111252,Spanking the Monkey (1994),Comedy|Drama
570,110366,The Little Rascals (1994),Comedy|Family|Romance
571,106878,íó la mode (1993),Comedy
572,109120,Andre (1994),Adventure|Drama|Family
573,108059,La scorta (1993),Crime|Drama|Thriller
574,110892,Princess Caraboo (1994),Comedy|Drama|History
575,112651,The Celluloid Closet (1995),Documentary|History
576,107642,Cafí© au lait (1993),Comedy|Romance
577,109382,Caro diario (1993),Biography|Comedy|Drama
578,106678,I Don't Want to Talk About It (1993),Drama|Romance
579,112572,The Brady Bunch Movie (1995),Comedy
581,99653,Ghost (1990),Drama|Fantasy|Romance
582,103639,Aladdin (1992),Animation|Adventure|Comedy
583,103064,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
584,99348,Dances with Wolves (1990),Adventure|Drama|Western
585,114706,Tough and Deadly (1995),Action|Drama|Thriller
586,96895,Batman (1989),Action|Adventure
587,102926,The Silence of the Lambs (1991),Crime|Drama|Thriller
588,29583,Snow White and the Seven Dwarfs (1937),Animation|Family|Fantasy
589,101414,Beauty and the Beast (1991),Animation|Family|Fantasy
590,32910,Pinocchio (1940),Animation|Comedy|Family
591,100405,Pretty Woman (1990),Comedy|Romance
592,110719,Window to Paris (1993),Comedy|Drama|Fantasy
593,65214,The Wild Bunch (1969),Action|Adventure|Western
594,110395,Love and a .45 (1994),Crime|Romance|Thriller
595,111752,Wu kui (1994),Drama
596,109934,A Great Day in Harlem (1994),Documentary|Music
597,112606,Bye Bye Love (1995),Comedy
598,115978,Criminals (1997),Documentary
599,117247,One Fine Day (1996),Comedy|Drama|Romance
600,112625,Candyman: Farewell to the Flesh (1995),Horror
601,106537,Century (1993),Drama|Romance
602,116282,Fargo (1996),Crime|Drama|Thriller
603,116552,Homeward Bound II: Lost in San Francisco (1996),Adventure|Comedy|Family
604,82509,Heavy Metal (1981),Animation|Adventure|Fantasy
605,116514,Hellraiser: Bloodline (1996),Horror|Sci-Fi
606,117283,The Pallbearer (1996),Comedy|Romance
607,116684,Jane Eyre (1996),Drama|Romance
608,110374,Loaded (1994),Drama|Thriller|Mystery
